zip,population_acs_2022,pop_10000_2022
61070,"1,389",0.1389
61071,"13,766",1.3766
61072,"11,077",1.1077
61073,"20,567",2.0567
61074,"4,093",0.4093
61075,"1,026",0.1026
61077,118,0.0118
61078,"1,255",0.1255
61079,213,0.0213
61080,"10,780",1.078
61081,"21,138",2.1138
61084,"3,118",0.3118
61085,"2,923",0.2923
61087,"1,755",0.1755
61088,"6,094",0.6094
61089,575,0.0575
61091,0,0
61101,"20,481",2.0481
61102,"16,875",1.6875
61103,"23,441",2.3441
61104,"18,306",1.8306
61107,"29,386",2.9386
61108,"29,673",2.9673
61109,"26,382",2.6382
61111,"22,756",2.2756
61112,113,0.0113
61114,"15,017",1.5017
61115,"22,542",2.2542
61201,"37,838",3.7838
61230,932,0.0932
61231,"5,158",0.5158
61232,"1,506",0.1506
61233,253,0.0253
61234,"1,073",0.1073
61235,"1,464",0.1464
61236,65,0.0065
61237,0,0
61238,"2,985",0.2985
61239,"1,174",0.1174
61240,"5,880",0.588
61241,"6,775",0.6775
61242,"1,136",0.1136
61243,277,0.0277
61244,"23,239",2.3239
61250,"2,713",0.2713
61251,382,0.0382
61252,"5,424",0.5424
61254,"12,103",1.2103
61256,"2,063",0.2063
61257,836,0.0836
61258,188,0.0188
61259,"1,379",0.1379
61260,595,0.0595
61261,644,0.0644
61262,734,0.0734
61263,808,0.0808
61264,"9,927",0.9927
61265,"44,006",4.4006
61270,"7,096",0.7096
61272,"1,357",0.1357
61273,"3,175",0.3175
61274,269,0.0269
61275,"4,393",0.4393
61276,77,0.0077
61277,"2,978",0.2978
61278,657,0.0657
61279,944,0.0944
61281,"2,553",0.2553
61282,"8,234",0.8234
61283,"1,422",0.1422
61284,"1,745",0.1745
61285,"2,661",0.2661
61301,"10,380",1.038
61310,"3,556",0.3556
61311,217,0.0217
61312,433,0.0433
61313,232,0.0232
61314,889,0.0889
61315,248,0.0248
61316,196,0.0196
61317,460,0.046
61318,620,0.062
61319,"1,297",0.1297
61320,675,0.0675
61321,312,0.0312
61322,"1,481",0.1481
61323,105,0.0105
61324,85,0.0085
61325,"1,028",0.1028
61326,"2,083",0.2083
61327,"1,385",0.1385
61328,78,0.0078
61329,"1,314",0.1314
61330,"1,222",0.1222
61331,0,0
61332,139,0.0139
61333,270,0.027
61334,604,0.0604
61335,362,0.0362
61336,484,0.0484
61337,500,0.05
61338,238,0.0238
61340,480,0.048
61341,"7,196",0.7196
61342,"8,389",0.8389
61344,262,0.0262
61345,701,0.0701
61346,47,0.0047
61348,"4,501",0.4501
61349,"1,054",0.1054
61350,"24,385",2.4385
61353,"1,238",0.1238
61354,"10,422",1.0422
61356,"10,959",1.0959
61358,374,0.0374
61359,431,0.0431
61360,"3,379",0.3379
61361,"1,351",0.1351
61362,"5,855",0.5855
61363,300,0.03
61364,"18,245",1.8245
61367,902,0.0902
61368,"1,314",0.1314
61369,"1,393",0.1393
61370,"1,168",0.1168
61371,85,0.0085
61372,269,0.0269
61373,"2,117",0.2117
61374,46,0.0046
61375,"1,163",0.1163
61376,"1,960",0.196
61377,"1,469",0.1469
61378,493,0.0493
61379,"1,224",0.1224
61401,"30,809",3.0809
61402,"1,748",0.1748
61410,"3,730",0.373
61411,346,0.0346
61412,"1,154",0.1154
61413,"1,012",0.1012
61414,794,0.0794
61415,"1,684",0.1684
61416,247,0.0247
61417,237,0.0237
61418,658,0.0658
61419,151,0.0151
61420,"1,002",0.1002
61421,"1,407",0.1407
61422,"3,042",0.3042
61423,497,0.0497
61424,34,0.0034
61425,392,0.0392
61426,105,0.0105
61427,"2,095",0.2095
61428,"1,162",0.1162
61430,618,0.0618
61431,315,0.0315
61432,686,0.0686
61433,22,0.0022
61434,"2,986",0.2986
61435,155,0.0155
61436,787,0.0787
61437,664,0.0664
61438,691,0.0691
61439,250,0.025
61440,774,0.0774
61441,815,0.0815
61442,678,0.0678
61443,"13,584",1.3584
61447,"1,133",0.1133
61448,"4,076",0.4076
61449,229,0.0229
61450,"1,756",0.1756
61451,225,0.0225
61452,146,0.0146
61453,691,0.0691
